stt,H,W
728,107.28,18.06
729,107.29,18.09
730,107.30,18.12
731,107.31,18.14
732,107.32,18.17
733,107.33,18.19
734,107.34,18.22
735,107.35,18.24
736,107.36,18.27
737,107.37,18.29
738,107.38,18.32
739,107.39,18.34
740,107.40,18.37
741,107.41,18.40
742,107.42,18.42
743,107.43,18.45
744,107.44,18.47
745,107.45,18.50
746,107.46,18.52
747,107.47,18.55
748,107.48,18.57
749,107.49,18.60
750,107.50,18.63
751,107.51,18.65
752,107.52,18.68
753,107.53,18.70
754,107.54,18.73
755,107.55,18.75
756,107.56,18.78
757,107.57,18.80
758,107.58,18.83
759,107.59,18.85
760,107.60,18.88
761,107.61,18.91
762,107.62,18.93
763,107.63,18.96
764,107.64,18.98
765,107.65,19.01
766,107.66,19.03
767,107.67,19.06
768,107.68,19.08
769,107.69,19.11
770,107.70,19.13
771,107.71,19.16
772,107.72,19.19
773,107.73,19.21
774,107.74,19.24
775,107.75,19.26
776,107.76,19.29
777,107.77,19.31
778,107.78,19.34
779,107.79,19.36
780,107.80,19.39
781,107.81,19.41
782,107.82,19.44
783,107.83,19.47
784,107.84,19.49
785,107.85,19.52
786,107.86,19.54
787,107.87,19.57
788,107.88,19.59
789,107.89,19.62
790,107.90,19.64
791,107.91,19.67
792,107.92,19.69
793,107.93,19.72
794,107.94,19.75
795,107.95,19.77
796,107.96,19.80
797,107.97,19.82
798,107.98,19.85
799,107.99,19.87
800,108.00,19.90
801,108.01,19.92
802,108.02,19.95
803,108.03,19.97
804,108.04,20.00
805,108.05,20.03
806,108.06,20.05
807,108.07,20.08
808,108.08,20.10
809,108.09,20.13
810,108.10,20.15
811,108.11,20.18
812,108.12,20.20
813,108.13,20.23
814,108.14,20.25
815,108.15,20.28
816,108.16,20.31
817,108.17,20.33
818,108.18,20.36
819,108.19,20.38
820,108.20,20.41
821,108.21,20.43
822,108.22,20.46
823,108.23,20.48
824,108.24,20.51
825,108.25,20.53
826,108.26,20.56
827,108.27,20.59
828,108.28,20.61
829,108.29,20.64
830,108.30,20.66
831,108.31,20.69
832,108.32,20.71
833,108.33,20.74
834,108.34,20.76
835,108.35,20.79
836,108.36,20.81
837,108.37,20.84
838,108.38,20.87
839,108.39,20.89
840,108.40,20.92
841,108.41,20.94
842,108.42,20.97
843,108.43,20.99
844,108.44,21.02
845,108.45,21.04
846,108.46,21.07
847,108.47,21.09
848,108.48,21.12
849,108.49,21.15
850,108.50,21.17
851,108.51,21.20
852,108.52,21.22
853,108.53,21.25
854,108.54,21.27
855,108.55,21.30
856,108.56,21.32
857,108.57,21.35
858,108.58,21.37
859,108.59,21.40
860,108.60,21.43
861,108.61,21.45
862,108.62,21.48
863,108.63,21.50
864,108.64,21.53
865,108.65,21.55
866,108.66,21.58
867,108.67,21.60
868,108.68,21.63
869,108.69,21.65
870,108.70,21.68
871,108.71,21.71
872,108.72,21.73
873,108.73,21.76
874,108.74,21.78
875,108.75,21.81
876,108.76,21.83
877,108.77,21.86
878,108.78,21.88
879,108.79,21.91
880,108.80,21.93
881,108.81,21.96
882,108.82,21.99
883,108.83,22.01
884,108.84,22.04
885,108.85,22.06
886,108.86,22.09
887,108.87,22.11
888,108.88,22.14
889,108.89,22.16
890,108.90,22.19
891,108.91,22.21
892,108.92,22.24
893,108.93,22.27
894,108.94,22.29
895,108.95,22.32
896,108.96,22.34
897,108.97,22.37
898,108.98,22.39
899,108.99,22.42
900,109.00,22.44
901,109.01,22.47
